member_id,join_date,gender,age,fitness_goal,sign_up_method,fitness_activity,fitness_level
398,2024-08-22,Male,47,Get back in shape,Online,Kickboxing,Beginner
399,2024-07-28,Female,32,Lose weight,In-person,CrossFit,Intermediate
400,2025-01-03,Female,46,Reduce stress,In-person,Pilates,Beginner
401,2024-10-17,Male,18,Reduce stress,Referral,Gym,Beginner
402,2024-02-09,Female,28,Improve overall health,In-person,Rock Climbing,Beginner
403,2025-01-05,Female,34,Improve flexibility,Referral,Boxing,Intermediate
404,2024-07-12,Female,34,Get back in shape,In-person,Pilates,Intermediate
405,2025-02-11,Male,29,Boost energy,In-person,Gym,Beginner
406,2024-07-24,Female,40,Lose weight,Online,Zumba,Beginner
407,2024-03-03,Male,23,Improve endurance,Social media,Bootcamp,Intermediate
408,2024-09-02,Male,32,Support mental health,Referral,Yoga,Beginner
409,2025-09-25,Male,35,Boost energy,Promo event,Spin,Intermediate
410,2025-05-02,Male,39,Improve overall health,Promo event,Swimming,Intermediate
411,2025-04-01,Male,41,Support mental health,Online,CrossFit,Beginner
412,2025-07-01,Female,22,Improve flexibility,Online,Strength Training,Beginner
413,2024-10-24,Male,18,Lose weight,In-person,Zumba,Advanced
414,2024-05-09,Female,46,Increase strength,Referral,Kickboxing,Beginner
415,2025-12-06,Female,37,Lose weight,Social media,Boxing,Beginner
416,2025-05-14,Male,26,Train for an event,Online,Strength Training,Advanced
417,2024-11-27,Female,49,Train for an event,Referral,Strength Training,Intermediate
418,2024-05-31,Female,35,Reduce stress,Social media,Bootcamp,Beginner
419,2025-09-02,Male,45,Support mental health,Referral,Yoga,Intermediate
420,2025-08-09,Female,34,Improve overall health,Online,Boxing,Beginner
421,2025-06-26,Male,54,Increase strength,Online,HIIT,Intermediate
422,2025-07-29,Female,51,Build muscle,Corporate,Gym,Beginner
423,2024-12-26,Male,31,Improve flexibility,Online,Boxing,Intermediate
424,2024-06-16,Male,43,Reduce stress,In-person,Kickboxing,Beginner
425,2025-03-20,Female,40,Reduce stress,Social media,Kickboxing,Beginner
426,2024-05-06,Male,47,Build muscle,Referral,Kickboxing,Intermediate
427,2025-08-31,Female,24,Get back in shape,Online,HIIT,Beginner
428,2024-12-28,Male,40,Improve mobility,Online,Kickboxing,Beginner
429,2024-10-19,Female,44,Increase strength,Online,Functional Training,Advanced
430,2024-12-19,Female,16,Build muscle,Corporate,Martial Arts,Intermediate
431,2025-01-23,Female,22,Build muscle,Social media,Yoga,Intermediate
432,2025-04-19,Male,16,Get back in shape,Promo event,Gym,Beginner
433,2025-11-03,Female,31,Build muscle,Online,Yoga,Beginner
434,2024-02-02,Male,41,Build muscle,Online,Spin,Intermediate
435,2024-01-22,Male,49,Lose weight,Online,Gym,Intermediate
436,2025-12-18,Male,34,Build muscle,Promo event,Gym,Intermediate
437,2024-04-03,Female,,Get back in shape,Online,Spin,Intermediate
438,2025-11-07,Male,20,Train for an event,Online,Spin,Advanced
439,2024-08-31,Female,16,Boost energy,Online,Yoga,Intermediate
440,2024-07-25,Male,33,Increase strength,In-person,Gym,Beginner
441,2024-06-19,Female,37,Improve flexibility,Referral,Gym,Beginner
442,2024-07-07,Male,33,Lose weight,Referral,HIIT,Beginner
443,2024-10-11,Female,16,Support mental health,Online,Strength Training,Intermediate
444,2025-10-02,Male,33,Improve mobility,Promo event,Kickboxing,Advanced
445,2024-08-13,Female,20,Improve endurance,Online,HIIT,Intermediate
446,2024-11-13,Male,40,Build muscle,In-person,Yoga,Intermediate
447,2025-10-21,Male,37,Support mental health,In-person,Strength Training,Beginner
448,2024-09-06,Male,24,Lose weight,Referral,HIIT,Beginner
449,2026-01-02,Female,28,Get back in shape,In-person,Gym,Beginner
450,2025-11-14,Non-Binary,23,Boost energy,Referral,Kickboxing,Intermediate
451,2025-05-04,Male,33,Improve mobility,In-person,Pilates,Intermediate
452,2025-07-16,Female,43,Increase strength,Referral,Spin,Intermediate
453,2025-01-04,Male,24,Get back in shape,Promo event,Strength Training,Beginner
454,2025-12-19,Male,39,Lose weight,Referral,Spin,Intermediate
455,2025-12-12,Female,28,Lose weight,In-person,Gym,Intermediate
456,2024-04-04,Male,26,Increase strength,Social media,Gym,Beginner
457,2024-07-18,Female,32,Improve endurance,In-person,Yoga,Intermediate
458,2025-05-10,Female,23,Lose weight,Online,Martial Arts,Beginner
459,2025-08-24,Male,28,Improve mobility,Online,Functional Training,Beginner
460,2025-06-19,Female,22,Support mental health,Online,Strength Training,Beginner
461,2024-11-12,Female,53,Increase strength,Social media,Strength Training,Beginner
462,2024-05-23,Male,34,Support mental health,Social media,Spin,Beginner
463,2025-10-21,Female,27,Lose weight,Corporate,Boxing,Intermediate
464,2024-04-20,Female,36,Get back in shape,Social media,Zumba,Beginner
465,2025-01-24,Male,32,Lose weight,Corporate,Strength Training,Advanced
466,2024-09-22,Female,31,Build muscle,In-person,Barre,Beginner
467,2024-07-22,Male,,Lose weight,Referral,HIIT,Beginner
468,2025-04-06,Male,41,Support mental health,Promo event,HIIT,Intermediate
469,2024-11-05,Male,28,Get back in shape,Online,Functional Training,Intermediate
470,2025-11-06,Female,28,Boost energy,Online,Kickboxing,Intermediate
471,2024-02-03,Female,31,Boost energy,Promo event,Kickboxing,Intermediate
472,2024-10-01,Female,16,Get back in shape,Online,Functional Training,Intermediate
473,2025-02-04,Female,18,Build muscle,Referral,Functional Training,Intermediate
474,2025-10-04,Male,47,Get back in shape,Promo event,Gym,Beginner
475,2024-08-15,Female,50,Improve endurance,Referral,Kickboxing,Intermediate
476,2024-04-05,Male,31,Lose weight,Promo event,Swimming,Beginner
477,2025-10-08,Female,39,Improve flexibility,In-person,Dance Fitness,Advanced
478,2024-05-21,Female,37,Build muscle,Referral,Rock Climbing,Beginner
479,2025-02-06,Male,64,Lose weight,Corporate,HIIT,Beginner
480,2024-02-04,Male,,Support mental health,Online,Pilates,Intermediate
481,2025-12-05,Male,32,Lose weight,Online,Pilates,Intermediate
482,2024-11-21,Male,24,Improve mobility,Online,Gym,Beginner
483,2025-06-30,Male,17,Get back in shape,In-person,Bootcamp,Beginner
484,2024-05-04,Male,36,Unspecified,Social media,Gym,Beginner
485,2024-02-14,Female,26,Lose weight,Social media,Gym,Beginner
486,2025-06-24,Male,19,Build muscle,Online,Spin,Beginner
487,2025-11-17,Female,27,Build muscle,Promo event,Gym,Beginner
488,2025-06-09,Female,23,Build muscle,Online,Gym,Beginner
489,2025-07-17,Non-Binary,50,Lose weight,Online,Gym,Beginner
490,2025-10-23,Female,42,Build muscle,In-person,Gym,Intermediate
491,2025-10-14,Male,33,Unspecified,Referral,Zumba,Beginner
492,2024-06-30,Female,48,Improve overall health,Promo event,Gym,Intermediate
493,2024-12-25,Male,34,Improve overall health,Online,Spin,Beginner
494,2024-05-25,Male,25,Improve endurance,In-person,HIIT,Intermediate
495,2024-12-23,Male,49,Get back in shape,Online,Pilates,Advanced
496,2024-06-02,Male,39,Increase strength,Online,CrossFit,Beginner
497,2025-05-29,Female,23,Boost energy,Corporate,Gym,Beginner
498,2024-11-05,Male,32,Improve flexibility,In-person,Pilates,Intermediate
499,2025-06-23,Male,25,Reduce stress,Online,Rock Climbing,Intermediate
500,2024-10-27,Female,20,Lose weight,Promo event,Gym,Intermediate
